"","actors_who_need_to_take_action","agents_of_change","call_to_action","cc_id","created_at","created_by","duration_of_problem","escalate_problem_to_govt_officials","flagged_issue","government_program_details","id","impact_achieved_description","impact_affected_community_member_support","impact_called_govt_official","impact_cc_verification_call","impact_community_meetings_attendance_number","impact_community_meetings_done","impact_community_meetings_number","impact_contact_lawyer","impact_contact_news_media","impact_contact_politician","impact_contact_vv_staff","impact_corroboration_call","impact_corroboration_details","impact_date","impact_govt_application_filing","impact_govt_official_no_of_calls","impact_govt_official_no_of_visits","impact_govt_official_support","impact_govt_official_support_details","impact_govt_official_visit","impact_in_process","impact_needs_office_intervention","impact_other_community_member_support","impact_other_community_member_support_details","impact_plan","impact_possible","impact_problem_reporting","impact_public_grievance_mechanism_use","impact_publicize_on_social_media","impact_raised_awareness","impact_rti_application_filing","impact_steps_followed_at_local_level","impact_uid","impact_youtube_publish_date","impact_youtube_url","is_impact","issue","issue_2","issue_footage_received_from_cc_date","level_of_spread","mentor","ngo_collaboration","no_of_individuals_affected","people_impacted","people_involved","primary_affected_groups","problem_identification_by_cc","screened_to","screened_to_total_number","screening_done","screening_shared_to","screening_shared_to_total_number","screening_shared_to_total_private_sharing","screening_sharing","social_movement_work","story_pitch_date","target_official","themes","topic_identification_reason","uid","underlying_reason_of_issue","updated_at","village_name","villages_impacted","youtube_publish_date","youtube_url"
"60","department bureaucrat",NA,"yes",108,2019-02-14 07:52:12,NA,"last 1 year",NA,"yes",NA,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc should screen this video to deputy commissioner and pressurize the authority for taking care of those migrant people with protection as children and adults together leaving their own places for food security and income. and the local administration should be aware about all these happening to take immediate steps to such migration. this video should be screened to as many as govt authority possible for strict rule as if people won't be in risk and danger. administration should take prevention and all necessary support without any misshapen. anshuman 2019 community screening & meeting ka aayojan kare puri samasya par samuhik charcha kare aur bdo ke nam ek application likhe application uske bad application ki photocopy karwaye aur fir community ke sath jakar bdo se mile unko video dikhaye par samasya par charcha kare aur deep boring kar me gaon handpump lagawane ke liye likhit application de aur photocopy par unse receiving le aur uprokt sabhi process ko achche se interview sahit bhi karte rhe.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"agrarian crisis","natural disaster",NA,"community(samuday)","harihar nagbansi",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deputy commissioner",NA,NA,"jh_469_mojo","low quality service delivery of entitlement provision",2022-11-18 10:44:01,"dumra",NA,2019-02-14,NA
"61","b.d.o.",NA,"yes",350,2019-01-10 05:31:11,NA,"yrs or more",NA,"no",NA,4744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"write a letter to the bdo signed by the villagers. keep a copy of the letter and submit to the office. take some villagers along with you to the office. show this mojo to the bdo","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"household","mst soriya banu",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_429_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"sita saal purv para",NA,2019-01-10,NA
"62","department bureaucrat-district level","government official","no",350,2021-11-03 06:51:13,"nidhi mishra","2-4 yrs","sign an application","no","pradhan mantri gram sadak yojana",2966,NA,"yes","yes",NA,20,"yes",1,"no","no","no","no",NA,NA,NA,"no",3,0,"yes","panchayat officials","no","yes","no","no","others","cc can write the application and can approach the target official of the area to take take suitable action to solve the problem","yes","yes","no","yes","told people about the problem (in person)","no","screening the video in the community on the device, speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"crumbling infrastructure",NA,2021-11-01,"village","mst soriya banu","no",1000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no","community members, bdo, district collector",5,2,"yes","no",2021-11-01,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5298","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"mahagama",NA,2021-11-03,"https://youtu.be/q5dqfo3tli0"
"63","department bureaucrat-block level","government official","no",350,2022-10-09 08:28:34,"sanchita pathak","last 1 year","sign an application","no",NA,4624,NA,"yes","yes",NA,8,"yes",1,"no","no","no","no",NA,NA,NA,"no",3,1,"yes","block development officer or other block officials","yes","yes","no","no","others","yes","yes","yes","no","yes","told people about the problem (in person)","no","screening the video in the community on the device, speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"anti poverty programs","health",2022-10-12,"village","mst soriya banu","no",300,NA,NA,"dalits, scheduled castes","yes","community members",8,"yes","community members",3,3,"yes","no",2022-10-09,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5408","corruption/bribery",2022-11-22 12:18:21,"chuka pani",NA,2022-10-13,"https://youtu.be/e1udkgq_pdk"
"64","b.d.o.","government official","yes",446,2022-02-01 11:19:09,"shikha paharin","2-4 yrs","sign an application","no","indra gandhi vidhwa pension yojana",3371,NA,"yes","no",NA,200,"yes",4,"no","no","no","no",NA,NA,NA,"yes",0,2,"yes","other village officials (non-panchayat)","yes","yes","yes","no","others","the form of all women will be filled and the application will be given to the officer.","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem, informed people about the law or rights","no","screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","livelihoods",2022-02-01,"panchayat","shikha paharin","no",100,NA,NA,"women, no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members, panchayat official, bdo",15,25,"yes","no",2022-01-26,"b.d.o.","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people came to him with their problems","jh_5317","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"booty",NA,2022-02-02,"https://youtu.be/pjrptkls-ma"
"65","b.d.o.","government official","yes",446,2022-02-01 11:19:09,"shikha paharin","2-4 yrs","visit a government office","no","indra gandhi vidhwa pension yojana",3371,NA,"yes","no",NA,200,"yes",4,"no","no","no","no",NA,NA,NA,"yes",0,2,"yes","other village officials (non-panchayat)","yes","yes","yes","no","others","the form of all women will be filled and the application will be given to the officer.","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem, informed people about the law or rights","no","screening the video in the community on the device",NA,NA,NA,FALSE,"anti poverty programs","livelihoods",2022-02-01,"panchayat","shikha paharin","no",100,NA,NA,"women, no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members, panchayat official, bdo",15,25,"yes","no",2022-01-26,"b.d.o.","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","people came to him with their problems","jh_5317","low quality service delivery of entitlement provision",2022-03-30 13:01:53,"booty",NA,2022-02-02,"https://youtu.be/pjrptkls-ma"
"66",NA,NA,"no",438,2021-07-15 05:03:53,"bhaskar raj","last month or less","don't know yet","no",NA,2278,NA,"yes","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no",NA,NA,"no","others",NA,"no","yes","no","yes","don't know yet","no",NA,NA,NA,NA,FALSE,"anti poverty programs","health",2021-07-15,"village","shikha paharin","no",300,NA,NA,"youth","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-07-15,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5244","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"satbarwa",NA,2021-07-16,"https://youtu.be/mh0z7nkxyy4"
"67","panchayat official, bdo","government official","yes",438,2021-06-07 07:07:19,"bhaskar raj","last month or less","take other action","no",NA,2026,NA,"yes","no",NA,150,"yes",2,"no","yes","no","no",NA,NA,NA,"no",0,1,"no","other officials","yes","yes","no","yes","leaders with links to ngos",NA,"yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"health","livelihoods",2021-06-03,"village","shikha paharin","yes",300,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no","community members, news outlets or journalists",10,25,"yes","yes",2021-06-01,NA,"a cultural change (social, community dynamics, that are more along the lines of behavior change - for instance, attending gram sabhas, hand-washing, not engaging in child marriage)","they toured the village to find out what's going on","jh_5217","delayed service delivery or entitlement provision",2022-03-30 13:01:53,"kadadohar",NA,2021-06-05,"https://youtu.be/9ytga8mqruw"
"68","bdo, department bureaucrat-block level, department bureaucrat-district level","government official","yes",438,2021-06-07 07:09:30,"bhaskar raj","last 1 year","don't know yet","no",NA,2027,NA,"yes","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","yes","yes","no","others",NA,"yes","yes","no","yes","don't know yet","no","screening the video in the community on the device, calling or visiting a local ngo or social movement",NA,NA,NA,FALSE,"health","livelihoods",2021-06-03,"village","shikha paharin","no",250,NA,NA,"women, youth, no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-06-04,"kallol biswas","none of the above","people called them/messaged theme on the phone","jh_5218","denial of service delivery or entitlement provision",2022-03-30 13:01:53,"satbarwa",NA,2021-06-05,"https://youtu.be/xuqwzv70kpm"
"69","bdo, department bureaucrat-block level","government official","yes",438,2021-06-24 09:05:42,"bhaskar raj","last month or less","take other action","no",NA,2131,NA,"yes","no",NA,50,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","yes","yes","yes","leaders with links to ngos","share the video, send the adhikari on whatsapp","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so, screening the video in the community on the device",NA,NA,NA,FALSE,"health","livelihoods",2021-06-25,"village","shikha paharin","no",300,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no","community members, ngo members or social movement activists or other community leaders",10,25,"yes","no",2021-06-24,"now","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5227","denial of service delivery or entitlement provision",2022-03-30 13:01:53,"camaru",NA,2021-06-27,"https://youtu.be/mowz9p7o0yk"
"70",NA,NA,"no",438,2021-05-13 08:54:21,"shikha paharin","last month or less","don't know yet","no",NA,1861,NA,"yes","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no",NA,NA,"no","others",NA,"no","yes","no","yes","don't know yet","no",NA,NA,NA,NA,FALSE,"health","livelihoods",2021-05-13,"village","shikha paharin","no",70,NA,NA,"youth","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-05-12,NA,"none of the above","they toured the village to find out what's going on","jh_5211","denial of service delivery or entitlement provision",2022-03-30 13:01:53,"mahavir chowk satbarwa",NA,2021-05-14,"https://youtu.be/qxnljrmxyzo"
"71","panchayat official, bdo, department bureaucrat-block level","government official","yes",438,2021-09-01 07:27:14,"bhaskar raj","yrs or more","take other action","yes","mgnrega",2635,NA,"yes","no",NA,50,"yes",1,"no","no","no","no",NA,NA,NA,"no",0,1,"yes","panchayat officials","yes","yes","no","no","others","gaon me rozgar samiti ke saath baithak kare. logo ke lie avedan kare aur block me jama kare. jinka job card ki validity khatm hui unko new application submit kare.","yes","yes","no","yes","informed people about a government program or entitlement","no","helping the victim make a plan or get motivated to solve the problem themselves, by for instance helping them gather information, fill up a request or telling them whom to contact, or mediating a family/community discussion to make people believe they should take action, speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"anti poverty programs","corruption",2021-10-14,"village","shikha paharin","no",100,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",10,"yes","community members",10,5,"yes","no",2021-08-27,NA,"an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_5276","delayed service delivery or entitlement provision, low quality service delivery of entitlement provision",2022-03-30 13:01:53,"kadadohar",NA,2021-10-20,"https://youtu.be/jkiatb_emau"
"72","department bureaucrat-district level","government official","yes",438,2021-04-12 03:59:25,"shikha paharin","yrs or more","don't know yet","no",NA,1746,NA,"yes","no",NA,100,"yes",5,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","no","yes","yes","social movement leaders","cc ne avhi takis samsya ko lekar me ek gram sabha ki hai aur van adikar ke tahat aabedan bhara hai","yes","yes","no","yes","told people about the problem (in person), informed people about a government program or entitlement, informed people about the law or rights","no","making a social media post, explaining the problem and showing some of the footage, sharing the edited video on social media & encouraging the relevant people to do so",NA,NA,NA,FALSE,"indigenous peoples","livelihoods",2021-05-10,"tola/hamlet","shikha paharin","no",100,NA,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-04-12,"now","material problem (e.g. delivery of a service, repair of infrastructure), a cultural change (social, community dynamics, that are more along the lines of behavior change - for instance, attending gram sabhas, hand-washing, not engaging in child marriage), a systemic problem (something related to governance)","others","jh_5205","delayed service delivery or entitlement provision, land seizure/forced eviction",2022-03-30 13:01:53,"pindara",NA,2021-05-12,"https://youtu.be/3vviworxncg"
"73","b.d.o.",NA,"yes",408,2020-03-31 06:57:43,NA,"yrs or more",NA,NA,NA,9154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"cc must screen this video to bdo for allocation of house in the district of deoghar block -sarat, as sonodi manjhian's house has been tumbledown for a new one she appeals to the authority for consideration at this old age to be fulfilled.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"crumbling infrastructure","governance and accountability",NA,"individual",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_833_mojo","delayed service delivery or entitlement provision",2022-11-18 10:42:09,"dumdumi",NA,2020-03-31,"https://youtu.be/ykqrcj9ctmm"
"74","panchayat official","government official","no",350,2017-09-11 08:55:58,NA,"yrs or more",NA,NA,NA,358,NA,"yes","no",NA,10,"yes",1,"no","no","no","no",NA,NA,NA,"no",NA,2,"yes","panchayat officials, block development officer or other block officials","yes","no","no",NA,NA,"make application in gram sabha for respective authority.","yes","yes","no","no","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"crumbling infrastructure",NA,NA,"panchayat","mst soriya banu","no",2000,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members, panchayat official, other govt official",NA,"yes",NA,NA,NA,"no","no",NA,"mukhiya, nawadih","material problem (e.g. delivery of a service, repair of infrastructure)","they toured the village to find out what's going on","jh_27_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"nawadih",NA,2017-07-11,NA
"75",NA,NA,"no",104,2019-12-12 07:14:46,NA,NA,NA,NA,NA,8219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"governance and accountability",NA,NA,NA,"graduate cc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jh_726_mojo",NA,2022-11-18 10:42:09,"sahibganj",NA,2019-12-12,"https://www.youtube.com/watch?v=agnb8lkzbf4&feature=youtu.be"
"76",NA,NA,"no",104,2020-11-20 07:06:41,"amrita anand",NA,"don't know yet","yes",NA,969,NA,"no","no",NA,NA,"no",NA,"no","no","no","no",NA,NA,NA,"no",NA,NA,"no",NA,"no",NA,NA,"no",NA,NA,"no","yes","no","yes","don't know yet","no",NA,NA,NA,NA,FALSE,"education","health",2020-11-15,NA,"graduate cc","no",NA,NA,NA,NA,"yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-06-02,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a governance & accountability problem, where the system is not working as it should","mentor or someone from vv called them","jh_5081",NA,2022-03-30 13:01:53,"imli tola",NA,2020-11-20,"https://youtu.be/9xiqkeahzii"
"77","department bureaucrat-block level","government official","yes",441,2021-06-08 11:17:44,"anshu raj maurya","last month or less","don't know yet","no",NA,2040,NA,"yes","no",NA,0,"no",0,"no","no","no","no",NA,NA,NA,"no",0,0,"no","other officials","no","yes","no","no","others","mentor ne cc se bat kr puri parkriya ke leye aww aur sahiya se cc ko bat karne karne phir cc aur aww aur sahiya ke saath kam kya","yes","yes","no","yes","don't know yet","no","making a social media post, explaining the problem and showing some of the footage",NA,NA,NA,FALSE,"health","livelihoods",2021-06-06,"panchayat","shikha paharin","no",3000,NA,NA,"no particular groups is affected -- the problem is cross-cutting","yes",NA,NA,"no",NA,NA,NA,NA,"no",2021-06-08,NA,"none of the above","they toured the village to find out what's going on","jh_5219","the community is ignorant about this problem",2022-03-30 13:01:53,"baihari",NA,2021-06-08,"https://youtu.be/9ubntd19ujs"
"78","department bureaucrat-district level","government official","yes",443,2021-08-23 13:46:00,"shikha paharin","yrs or more","don't know yet","no",NA,2581,"jharkhand, district west singhbhum, chaibasa sadar hospital, lack of specialist doctors and nurses, 15 lakh people of 19 blocks and 1069 panchayats were benefited. there was a shortage of ophthalmologist, about 1 year after making my video, an ophthalmologist has been sent to sadar hospital chaibasa, who sits only 2 days a week, by whom all types of treatment related to eyes are done, along with aim di a doctor of medicine has also been sent, this change has happened after making my video, sharing it and talking to the hospital manager.","yes","no","yes",15,"yes",3,"no","no","no","no","yes","ashish kumar hospital manager",2022-11-01,"no",0,10,"yes","district collector or district officials, others officials","yes","yes","yes","yes","others","ye chat ke liye hai action ke ware me bhi koi baat nahi hui hi hi","yes","yes","no","yes","told people about the problem (in person), screened/shared a video about the problem","no","making a social media post, explaining the problem and showing some of the footage, screening the video in the community on the device","jh_5269_impact",2022-11-21,"https://youtu.be/pcocooibyb0",TRUE,"health","livelihoods",2021-08-19,"district","shikha paharin","no",1500000,1500000,11,"no particular groups is affected -- the problem is cross-cutting","yes","community members",25,"yes","community members, panchayat official",2,15,"yes","no",2021-08-18,"now","an entitlement problem - meaning a government anti-poverty scheme that people apply for, a material problem (eg delivery of a service, repair of infrastructure), a systemic problem (something related to governance)","they toured the block to find out what's going on","jh_5269","the community is ignorant about this problem",2022-11-29 05:27:00,"chaibasa",100,2021-12-25,"https://youtu.be/ft_kmwgac6q"
"79","b.d.o.","government official","no",80,2020-11-24 13:35:52,"amrita anand","2-4 yrs","sign an application","no",NA,992,NA,"yes","yes",NA,10,"yes",2,"no","no","no","no",NA,NA,NA,"no",4,2,"yes","panchayat officials, block development officer or other block officials","yes","yes","no","no",NA,NA,"yes","yes","no","no","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"anti poverty programs","health",2020-11-24,"neighborhood","graduate cc","no",40,NA,NA,"muslims, women","yes",NA,NA,"no",NA,NA,NA,NA,"no",2020-11-13,NA,"material problem (e.g. delivery of a service, repair of infrastructure), a systemic problem (something related to governance), gender","they toured the block to find out what's going on","jh_5086","denial of service delivery or entitlement provision, low quality service delivery of entitlement provision, religions discrimination",2022-03-30 13:01:53,"suyadih",NA,2020-12-07,"https://youtu.be/n0demd4abzw"
"80","department bureaucrat-block level","government official","yes",409,2021-09-23 07:57:07,"ravinder baraik","last month or less","sign an application","no",NA,2738,NA,"yes","no",NA,5,"yes",3,"no","no","no","no",NA,NA,NA,"no",0,2,"yes","block development officer or other block officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"natural disaster","anti poverty programs",2021-10-14,"household","shikha paharin","no",5,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",50,"yes",NA,NA,NA,"no","no",2021-09-23,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5279","delayed service delivery or entitlement provision",2022-03-30 13:01:53,"japud",NA,2021-10-15,"https://youtu.be/uoib4r4abme"
"81","department bureaucrat-block level","government official","yes",409,2021-09-23 07:57:07,"ravinder baraik","last month or less","visit a government office","no",NA,2738,NA,"yes","no",NA,5,"yes",3,"no","no","no","no",NA,NA,NA,"no",0,2,"yes","block development officer or other block officials","yes","yes","no","no","others",NA,"yes","yes","no","yes","told people about the problem (in person)","no","speaking with the relevant authorities by phone, visiting the relevant authorities",NA,NA,NA,FALSE,"natural disaster","anti poverty programs",2021-10-14,"household","shikha paharin","no",5,NA,NA,"tribals, adivasi, scheduled tribe","yes","community members",50,"yes",NA,NA,NA,"no","no",2021-09-23,NA,"material problem (e.g. delivery of a service, repair of infrastructure)","people called them/messaged theme on the phone","jh_5279","delayed service delivery or entitlement provision",2022-03-30 13:01:53,"japud",NA,2021-10-15,"https://youtu.be/uoib4r4abme"
"82",NA,NA,"no",409,2018-08-02 12:23:53,NA,"yrs or more","don't know yet",NA,NA,3257,"2018 main ravinder ne video banaya phie adhikariyon pe pressue dala. abhi lockdown ke baad digri kera village main bijli a gaya hai. ..................................................... ........... applied. follow up kiya................................................ ..................................................... ..................................................... ..................................................... ........................................","yes","no","yes",0,"no",0,"no","no","no","no","no","the whole village",2021-09-08,"no",0,0,"no","other officials","no","no",NA,"no","others","visit to bdo, screen video, villagers also go with you. give an application.","no","yes","no","yes","don't know yet","no",NA,"jh_261_mojo_impact",NA,NA,TRUE,"power & energy","corruption",NA,"village","shikha paharin","no",500,500,1,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",NA,"b.d.o.","material problem (e.g. delivery of a service, repair of infrastructure)","people came to him with their problems","jh_261_mojo","denial of service delivery or entitlement provision",2022-11-18 10:44:01,"digrikera",1,2018-08-02,NA
"83","department bureaucrat-block level","government official","no",409,2022-01-05 03:23:34,"ravinder baraik","last month or less","don't know yet","no",NA,3200,"district-khuti block-raniya panchayat-khantaga village-digri's jhariya toli, 8 members including 2 families, 8 members including 2 families, due to wild animals eating about 10 quintals of paddy kept in the barn of 2 farmers on 17/12/21 i was facing a lot of trouble, met the farmers regarding this problem and after preparing the application and getting it signed by the village head, reached the forest department office in the block on 21/12/21 with the farmers and even after giving the application, i was constantly after contacting, the farmers are very happy that rs 6400 has come to their account in 8 months. they say that there is no problem in buying paddy or rice and taking care of 8 members including 2 families.","no","no","yes",0,"no",0,"no","no","no","no","yes","forest worker nitesh kesari",2023-01-14,"no",0,0,"no","other officials","no","yes","no","no","others","forest dept.","yes","yes","no","no","don't know yet","no","speaking with the relevant authorities by phone, visiting the relevant authorities","jh_5310_impact",2023-01-20,"https://youtu.be/rzof8mgfxtw",TRUE,"environment","environment",2022-01-26,"household","shikha paharin","no",8,12,NA,"tribals, adivasi, scheduled tribe","yes",NA,NA,"no",NA,NA,NA,NA,"no",2022-01-05,NA,"none of the above","they toured the village to find out what's going on","jh_5310","low quality service delivery of entitlement provision",2023-01-20 13:04:21,"degrees",NA,2022-02-15,"https://youtu.be/zts42sha458"
"84","b.d.o.",NA,"yes",409,2018-08-25 13:21:52,NA,"last month or less",NA,NA,NA,3490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo give an application, screen in community,","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual","shikha paharin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_298_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"degrees",NA,2018-08-24,NA
"85","b.d.o.",NA,"yes",409,2018-08-27 11:26:53,NA,"last 1 year",NA,NA,NA,3509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bso, screen video, give an application. submit all documents.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual","shikha paharin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bso",NA,NA,"jh_302_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"tokens",NA,2018-08-27,NA
"86","b.d.o.",NA,"yes",409,2018-08-25 13:28:10,NA,"last 1 year",NA,NA,NA,3491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo, screen video, give an application and submit all documents","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual","shikha paharin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_299_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"high",NA,2018-08-25,NA
"87","b.d.o.",NA,"yes",409,2018-08-31 09:31:00,NA,"last 1 year",NA,NA,NA,3541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"visit to bdo with vijay and give an application, screen to and ask to add his name in ration list","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs",NA,NA,"individual","shikha paharin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_307_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"tokens",NA,2018-08-31,NA
"88","b.d.o.",NA,"yes",409,2018-12-24 07:43:02,NA,"last 1 year",NA,"no",NA,4552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,"screen this video to bdo for an inquiry whether this happening?? if this is happening then  bdo to order to those employees which are responsible in distributing the pension, she should be allowed to get the pension as  she is an old widow and she is entitled to get her pension.","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"anti poverty programs","livelihoods",NA,"household","shikha paharin",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b.d.o.",NA,NA,"jh_422_mojo","denial of service delivery or entitlement provision",2022-11-18 10:44:01,"digri",NA,2018-12-24,NA
"89",NA,NA,"no",409,2019-02-26 10:08:43,NA,"2-4 yrs","sign an application","no",NA,5237,"krushna chik badaik, village token, panchayat token, had ration card but since 2017 he was not receiving ration.  ......................................................................................... post makking the video in 2019, ravinder met officials but nothing moved. then on 2020 lockdown happened. during tthis time he again got in touch with the authorities finally as lockdown opened in march 2021 he went and met the khadya aapruti adikari then card was made in september 2021. and they started getting the rasan from sept 2021","yes","no","yes",12,"yes",2,"no","no","no","no","no","the beneficiaries",2021-09-14,"yes",0,2,"yes","block development officer or other block officials","yes","no",NA,"no","others",NA,"no","yes","yes","no","don't know yet","no",NA,"jh_486_mojo_impact",NA,NA,TRUE,"anti poverty programs","governance and accountability",NA,"household","shikha paharin","no",7,7,1,"tribals, adivasi, scheduled tribe","yes","community members",12,"yes",NA,NA,NA,"no","no",NA,"b.d.o.","material problem (e.g. delivery of a service, repair of infrastructure)","others","jh_486_mojo","delayed service delivery or entitlement provision",2022-11-18 10:44:01,"token",1,2019-02-26,NA
